,Unnamed: 0,Question,ref,Response,Grade,aug,id
550,10,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,The X container has more surface area than the Y container.,1,False,6252
551,11,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,It evaporated faster because there was more room in the container and it's a wider cup. It had more room to evaporate faster.,1,False,6253
552,12,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,"Well, if there is a bigger surface area then the water will evaporate more quickly.",1,False,6254
553,13,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because the surface area was wider.,1,False,6255
554,14,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,I believe X evaporated more quickly because X has more space and Y does not.,1,False,6256
555,15,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,It is wider.,1,False,6257
556,16,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,"Because cup X had more surface area, which makes it easier to evaporate.",1,False,6258
557,17,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,It evaporated more quickly because there was more surface area.,1,False,6259
558,18,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,"The surface area of container X is bigger, causing it to evaporate faster.",1,False,6260
559,19,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because the surface area was wider so it had more room to evaporate.,1,False,6261
560,20,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,That water moved more quickly because it had a larger surface area causing it to evaporate faster.,1,False,6262
561,21,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,X has a bigger opening on the top of it.,1,False,6263
562,22,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because it has more area but Y does not.,1,False,6264
563,23,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,"Container X evaporated quicker because it had greater surface area. So more water molecules were exposed to the air, so they evaporated quicker.",1,False,6265
564,24,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,X had more room and more gate that is how.,1,False,6266
565,25,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,The water in the X container had a larger surface area. Which let it evaporate more water faster.,1,False,6267
566,26,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,It evaporated quickly because it had a larger surface area.,1,False,6268
567,27,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because X had more surface area than Y.,1,False,6269
568,28,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,X evaporated more because it has more room for the water to evaporate.,1,False,6270
569,29,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because the cup Y is larger it is tall so it would have to evaporate and X is not tall so it will not evaporate as quickly.,0,False,6271
570,30,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because it has a bigger surface area so it will evaporate faster.,1,False,6272
571,31,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,The container was more denser.,0,False,6273
572,32,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,X was empty because it has surface area.,1,False,6274
573,33,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Y is more skinnier so it does not have enough room to evaporate so X is wider so it has a lot of room to evaporate.,1,False,6275
574,34,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because it does not have as much surface area.,0,False,6276
575,35,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because it has more room space where the water could evaporate faster.,1,False,6277
576,36,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,X had more surface area. So most of X water had evaporated.,1,False,6278
577,37,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because container X had more surface area.,1,False,6279
578,38,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,X had more surface area.,1,False,6280
579,39,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Why I picked the letter X is because of the surface area. It has to be wider than a milk carton.,1,False,6281
580,40,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because it had a bigger surface area.,1,False,6282
581,41,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Y is hollow so there is not a lot of room for it to evaporate and X is wide so it would be able to evaporate more quickly.,1,False,6283
582,42,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because X has a wider opening than Y so the evaporation will get to X quicker.,1,False,6284
583,43,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because X is fatter than Y and Y is tall so the water on the bottom will not evaporate.,1,False,6285
584,44,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because the water in Y was more heated.,0,False,6286
585,45,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because there was more surface area.,1,False,6287
586,46,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,"Because the container X had more surface area, and the more surface area the faster it evaporates.",1,False,6288
587,47,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because that water has taken before so that water evaporated more quickly than the other.,0,False,6289
588,48,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,X was exposed to the air more and had more surface area than Y.,1,False,6290
589,49,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,"That one was empty because it had more surface area, so the sun or air could get to it easier. If it has more surface area, the more likely it is to evaporate.",1,False,6291
590,50,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,X evaporated more quickly because there was more air being exposed.,0,False,6292
591,51,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,The water in cup X was exposed to more air which allowed it to evaporate faster.,1,False,6293
592,52,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Container X had more surface area so it evaporated quicker than container Y.,1,False,6294
593,53,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,It had a larger surface area.,1,False,6295
594,54,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,X had a larger opening than the other cup.,1,False,6296
595,55,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,X evaporated more because X had more land area?,0,False,6297
596,56,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,The X container has a bigger surface area so it could evaporate quicker.,1,False,6298
597,57,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,It has more surface area so more air can get to it and evaporate it.,1,False,6299
598,58,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because that container had a bigger opening than the other.,1,False,6300
599,59,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,X has a bigger surface area so it will evaporate faster.,1,False,6301
600,60,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because X had more surface area than cup Y.,1,False,6302
601,61,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because it had a bigger surface area.,1,False,6303
602,62,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because the surface area is more bigger than the other container.,1,False,6304
603,63,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,"Because X has a larger surface area, so the cup with the larger surface area would evaporate faster.",1,False,6305
604,64,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,It evaporated more quickly because it had a larger surface area.,1,False,6306
605,65,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because X had more surface area.,1,False,6307
606,66,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,X because it is the tallest and X is wider but Y evaporated more.,0,False,6308
607,67,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,The X container had larger surface area.,1,False,6309
608,68,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Container X had a larger surface area than container Y.,1,False,6310
609,69,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because X has more surface area and so it will evaporate faster.,1,False,6311
610,70,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Surface area affects evaporation X had a bigger surface area than Y so X evaporated faster than Y.,1,False,6312
611,71,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because someone picked it up and drank it.,0,False,6313
612,72,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because it has more area to come out in.,1,False,6314
613,73,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because X has more surface area than Y.,1,False,6315
614,74,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because there is more in the X cup.,0,False,6316
615,75,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,The container was wider than the other.,1,False,6317
616,76,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,Because it had more space.,1,False,6318
617,77,"Ted poured the same amount of water into 2 small containers, X and Y. He placed them together where they would not be disturbed. After several days, all of the water had evaporated from one of the containers. The other container still had some water. Which container, X or Y, was empty? Explain why the water in that container evaporated more quickly than the water in the other container.",Container X has more surface area or more water exposed to the air so the water evaporated faster.,"Because it has more surface area, room for water to evaporate.",1,False,6319
